R,G,B
23,36,44
12,31,45
12,29,39
23,31,33
22,28,24
15,27,27
13,34,39
33,33,45
26,27,32
22,24,19
26,29,18
10,14,0
34,37,28
32,34,29
26,28,27
38,39,43
44,44,54
27,26,40
18,17,35
25,24,40
26,26,36
27,28,30
30,32,27
33,34,16
24,35,27
20,40,38
10,30,19
19,27,14
37,33,32
34,26,39
36,30,40
32,29,24
39,36,27
25,25,27
14,21,27
22,39,33
27,41,28
28,27,25
33,16,32
12,50,37
17,30,20
33,25,22
35,31,30
16,25,24
23,30,23
47,40,32
40,26,23
41,31,39
44,38,50
42,32,41
28,18,26
25,26,31
30,37,43
35,34,32
47,33,24
44,27,11
37,16,15
36,13,29
30,10,35
37,25,49
27,23,46
19,21,42
20,26,38
35,42,35
36,45,18
23,32,1
26,32,18
33,36,43
21,18,35
22,15,23
40,30,28
25,35,24
27,35,22
35,39,24
15,17,3
22,19,12
41,36,40
31,29,43
42,43,64
32,37,57
30,40,50
15,30,27
22,36,23
37,48,31
34,41,25
33,33,23
41,38,33
35,31,56
28,35,43
25,37,33
17,25,27
27,24,33
44,38,38
37,39,25
22,33,19
30,38,40
38,38,50
34,29,35
24,26,25
21,32,36
21,35,48
25,35,45
37,41,40
29,29,29
14,29,24
9,26,20
34,30,29
60,34,37
51,25,26
29,19,17
26,28,23
38,43,39
28,37,32
34,49,42
28,39,33
22,11,15
45,19,28
40,17,23
43,33,32
36,44,29
16,27,10
12,21,4
27,28,22
26,23,30
23,22,40
31,36,56
34,39,58
38,38,50
21,22,26
12,23,19
13,28,25
30,40,41
18,20,19
29,32,23
32,41,22
34,33,28
31,35,36
28,40,40
23,39,29
34,45,31
27,27,19
35,27,25
43,43,35
31,40,19
8,22,0
19,27,14
25,21,18
28,18,17
47,39,36
38,38,38
25,29,38
34,17,36
30,28,41
23,34,38
17,36,34
22,39,33
26,37,31
29,30,25
39,23,24
53,28,34
44,35,38
13,33,31
7,40,33
19,37,37
25,20,27
37,21,32
53,37,48
50,35,38
33,27,29
28,34,32
28,39,35
27,33,31
40,36,37
47,38,41
40,34,38
29,30,32
26,30,31
35,34,39
48,37,45
48,31,41
39,28,36
33,32,37
28,38,39
13,17,26
30,27,36
33,26,34
23,18,24
29,29,31
36,32,33
32,21,25
37,31,33
26,30,31
21,30,29
34,38,41
39,39,41
32,33,35
40,46,44
46,48,45
33,24,25
30,21,24
35,38,29
32,45,28
25,38,28
18,23,26
23,26,31
33,44,40
28,45,35
40,52,48
30,30,38
19,13,25
23,22,28
32,41,40
26,41,38
20,30,32
24,28,37
21,30,29
19,25,25
24,34,35
24,40,40
21,32,36
36,28,39
51,35,48
39,38,44
23,43,41
17,36,32
41,35,37
51,26,32
47,28,32
34,32,33
21,23,22
34,30,31
25,43,45
18,29,25
22,28,16
35,39,25
37,40,33
26,25,30
20,20,28
21,29,32
16,27,23
18,20,17
33,27,31
34,37,46
13,32,39
7,31,35
34,36,35
54,33,32
0,27,20
25,41,38
41,51,50
34,46,44
19,40,35
24,47,41
34,48,48
30,35,41
28,31,38
16,27,33
2,20,24
10,23,29
31,35,44
35,38,45
21,31,33
8,27,25
32,33,51
39,42,47
29,35,25
23,31,10
21,28,10
37,43,33
26,31,27
28,32,31
31,35,34
36,40,41
31,34,43
25,28,45
25,28,45
28,32,41
32,39,32
35,44,25
29,35,21
29,42,33
16,37,32
20,37,29
25,30,24
31,27,28
42,36,46
32,31,37
36,38,33
37,36,31
17,15,16
28,32,35
47,59,55
34,47,37
27,27,25
32,20,30
9,38,20
25,33,18
48,33,28
49,24,30
27,10,20
31,22,25
51,40,34
55,35,26
44,18,17
31,14,24
30,29,43
19,27,40
15,19,28
32,30,33
34,29,25
27,24,15
40,40,38
36,26,35
43,24,43
45,22,42
44,28,41
35,25,34
40,35,42
52,41,47
47,29,27
42,24,12
29,17,3
33,29,28
33,37,48
17,21,33
21,21,19
40,37,22
22,34,30
15,26,20
38,43,36
40,40,32
47,42,38
52,47,44
32,27,31
35,34,40
33,38,42
18,28,27
13,26,19
34,47,37
36,46,37
22,27,21
31,29,30
38,33,37
31,36,42
18,32,35
24,42,42
25,37,35
20,19,17
38,28,29
50,46,45
36,41,37
32,37,33
45,41,42
42,33,38
34,32,37
28,40,40
18,38,36
24,40,39
37,45,48
37,38,33
28,33,27
28,24,25
46,20,33
64,20,45
54,19,43
37,21,34
35,30,34
44,40,39
45,41,38
38,39,34
43,34,35
42,16,25
39,11,25
16,10,24
9,27,37
42,52,41
18,32,6
17,27,0
37,38,33
31,28,47
13,18,40
20,27,43
32,30,44
26,15,32
22,23,28
13,36,20
9,33,11
35,34,32
33,12,27
38,32,32
29,49,22
26,43,53
21,30,37
25,35,37
5,23,27
13,27,36
27,21,31
43,18,24
59,40,44
40,41,43
16,26,27
47,46,44
52,36,39
26,16,25
25,31,45
13,25,39
4,13,22
31,28,19
38,38,28
28,28,18
23,20,13
31,31,23
27,30,23
24,23,21
44,27,33
52,26,37
48,37,43
19,31,29
9,26,20
21,22,17
32,14,12
35,22,14
37,38,24
61,34,41
37,20,26
28,24,25
39,37,38
44,35,38
48,29,35
48,29,35
35,26,31
25,34,33
11,32,27
16,35,31
28,38,39
32,33,37
25,30,33
17,36,34
11,40,35
41,36,33
26,27,21
30,33,26
37,32,28
34,23,19
32,24,21
31,32,26
41,43,38
38,37,35
24,23,21
17,23,19
23,35,25
33,39,29
42,40,28
37,38,24
27,31,14
37,27,26
52,52,40
32,40,25
15,24,21
29,30,35
34,36,31
30,41,27
29,44,39
28,38,50
30,32,45
32,31,29
25,26,18
14,23,30
17,30,49
26,36,46
24,31,23
22,20,23
16,17,21
21,31,33
21,41,42
11,31,32
19,22,31
39,23,36
43,25,39
44,42,47
28,43,40
24,39,34
37,37,37
49,34,39
42,27,34
31,26,30
27,31,34
24,36,26
11,27,14
16,27,13
46,39,31
56,41,38
35,31,30
18,34,31
21,43,40
32,42,44
14,13,21
18,20,32
20,34,45
21,38,48
30,36,50
32,24,39
45,27,41
16,37,20
31,43,41
26,30,39
17,25,28
24,40,30
23,39,26
17,26,25
30,28,42
46,43,60
36,41,45
25,36,32
25,33,35
37,35,49
37,32,52
25,25,35
11,22,16
24,27,36
38,42,43
45,53,40
37,46,29
32,40,27
31,37,33
26,32,32
33,39,39
28,35,28
15,25,16
20,29,26
28,35,41
25,32,42
24,32,35
24,34,26
21,32,15
22,39,31
23,44,29
22,40,26
35,41,39
38,32,42
32,25,32
38,40,37
30,43,36
22,36,36
42,46,49
23,19,16
21,18,11
32,34,31
34,42,44
45,50,53
32,32,30
12,20,7
24,26,13
41,31,21
53,24,26
48,15,26
35,12,22
32,18,15
46,28,16
51,27,17
28,16,20
24,36,50
23,45,58
28,33,37
37,23,22
31,24,18
28,39,33
19,42,50
8,20,32
23,21,34
42,32,40
45,35,34
28,19,12
37,26,22
57,36,35
54,24,24
60,26,25
53,27,30
46,32,45
36,35,53
31,35,46
36,39,30
31,34,7
28,37,36
11,20,19
26,30,33
35,36,40
32,32,34
39,38,34
38,38,26
32,33,17
37,40,23
28,31,20
19,24,18
30,34,37
32,35,42
27,30,37
35,36,41
31,32,36
17,32,11
16,31,24
19,33,34
21,32,28
22,25,18
31,29,34
40,35,55
33,29,44
37,35,36
40,36,33
33,28,35
33,33,43
27,36,33
14,28,11
19,33,18
30,42,40
22,36,19
28,41,23
38,42,28
43,34,35
44,27,43
41,28,45
36,29,37
32,27,23
43,39,27
41,37,26
26,19,11
46,28,24
64,38,39
50,29,34
18,25,33
0,33,42
36,36,26
27,40,22
29,48,28
37,44,37
37,29,44
30,25,47
21,24,41
15,17,29
19,17,20
18,21,14
6,23,5
8,25,9
43,39,38
49,29,38
43,34,35
23,37,22
20,32,44
32,44,44
23,35,33
26,36,45
26,33,52
39,37,51
37,31,35
29,23,27
11,9,22
25,27,40
36,36,38
42,37,34
36,31,38
22,21,39
27,30,45
29,34,38
26,29,18
35,35,25
38,29,20
29,19,10
25,21,10
30,30,18
34,30,21
36,18,16
39,17,19
38,30,28
21,28,21
17,27,19
33,25,22
43,23,22
42,31,25
35,39,25
42,44,43
24,20,21
21,10,14
44,29,34
52,37,42
42,31,35
34,30,31
23,23,25
28,34,34
22,32,31
20,36,33
14,35,30
1,23,20
0,16,15
11,21,22
23,27,30
45,34,32
37,38,32
31,36,29
30,22,19
39,23,24
42,33,34
32,36,35
38,42,43
50,45,51
23,18,24
12,21,20
29,46,40
37,44,37
30,25,19
26,26,14
32,43,26
41,30,28
36,34,22
25,31,19
32,36,37
39,38,44
31,30,25
29,36,20
30,42,40
23,31,50
24,26,41
33,33,25
32,36,21
19,28,37
22,34,60
33,43,55
31,39,24
29,38,37
36,37,41
33,28,34
27,26,34
19,33,36
6,30,32
21,30,35
60,42,54
66,35,50
51,40,46
24,45,40
23,48,42
33,34,36
37,17,28
35,22,31
25,28,33
33,21,21
31,33,32
31,39,41
44,42,47
43,34,37
26,33,26
17,48,33
24,54,46
20,29,36
36,27,46
22,13,30
19,22,29
40,41,43
35,33,36
27,28,33
32,41,48
16,36,24
13,28,21
29,38,35
29,40,36
17,32,27
21,36,31
28,38,39
30,33,40
28,28,36
33,38,42
36,46,48
35,43,46
35,35,45
36,34,47
40,43,52
43,51,54
27,33,29
22,29,22
39,46,38
39,46,39
27,33,31
28,33,36
32,40,42
29,38,35
41,51,43
32,42,31
29,41,29
21,32,24
22,33,27
39,50,46
36,47,41
17,28,20
22,42,40
17,40,24
29,47,31
34,38,39
39,28,44
35,28,36
20,27,19
23,43,32
15,33,33
26,34,37
26,23,18
36,30,18
24,25,20
11,16,22
29,37,39
39,44,37
21,24,15
31,34,23
33,35,21
35,29,17
50,35,32
53,32,39
40,21,25
40,27,18
41,40,22
40,51,43
30,44,53
24,32,45
39,33,35
42,28,19
34,20,17
43,36,44
15,36,41
11,26,33
20,27,35
36,37,41
45,44,42
37,34,29
41,33,30
38,25,19
43,24,17
42,24,14
40,22,20
39,27,37
33,26,44
35,33,46
46,47,42
42,44,23
36,39,30
20,25,19
23,28,31
26,31,37
13,21,24
25,31,29
40,43,34
24,25,11
25,21,9
49,42,36
41,32,37
26,18,31
29,27,40
33,36,43
28,38,37
23,36,27
22,42,17
19,32,15
24,29,23
27,31,30
20,30,31
32,41,48
39,41,56
14,7,23
29,23,33
36,37,39
28,37,36
28,34,32
29,30,24
29,31,20
32,38,28
16,29,20
22,47,26
19,39,14
21,41,13
17,45,20
6,39,22
15,35,26
37,34,25
41,28,12
53,46,27
42,44,30
29,30,22
34,27,19
46,33,24
31,27,15
26,39,30
28,52,52
33,18,15
19,28,25
15,40,34
16,29,20
34,24,23
50,32,46
33,25,48
14,23,30
15,28,11
22,30,6
18,24,10
23,27,26
38,38,38
32,27,23
33,29,26
37,38,42
45,47,42
34,45,37
32,45,38
23,24,28
21,18,29
36,43,51
10,30,31
11,26,29
28,27,35
30,23,31
27,31,32
5,18,11
35,40,36
40,31,34
17,6,10
27,26,24
20,25,28
25,25,27
32,28,29
25,27,22
18,28,17
30,38,25
43,36,28
36,18,14
23,8,5
33,32,28
21,34,27
9,24,21
23,28,31
48,46,51
52,47,53
27,26,31
16,58,44
15,38,30
20,18,19
43,31,35
47,41,43
28,37,34
23,40,34
23,35,31
39,37,40
37,31,35
31,32,34
20,36,33
12,35,29
21,33,31
45,32,41
62,30,45
33,27,29
49,45,46
38,34,35
21,15,17
36,30,34
39,34,40
19,18,24
23,23,31
28,28,40
17,17,29
22,26,37
28,35,43
20,25,31
24,28,31
37,41,40
35,41,37
39,29,28
16,16,8
21,27,17
44,49,45
39,37,40
28,24,25
29,34,28
23,33,32
39,48,53
29,32,39
25,23,26
27,27,27
24,34,36
25,38,46
33,40,46
41,43,42
9,35,26
12,18,18
42,22,33
57,30,45
30,27,36
10,40,38
20,52,49
37,36,42
56,24,39
48,22,33
29,40,36
14,44,34
18,30,28
34,23,31
41,30,38
37,40,45
54,30,43
45,33,47
29,28,46
27,33,49
27,38,42
21,41,32
21,48,33
16,42,33
22,35,41
37,30,48
33,15,31
39,16,22
34,19,14
23,25,12
30,50,38
24,56,45
8,27,23
23,41,29
36,50,33
22,35,25
12,26,27
16,29,37
15,26,28
18,27,22
34,40,36
32,39,45
31,39,50
30,37,47
28,32,33
30,32,31
29,32,39
22,28,44
42,48,34
31,36,29
40,44,43
47,52,56
36,41,45
38,43,46
28,34,32
13,22,17
26,35,30
36,47,39
34,46,34
15,27,13
23,36,19
41,55,42
26,38,34
6,18,18
23,38,31
18,38,29
22,43,34
21,33,31
29,30,35
30,28,33
17,21,22
24,36,32
5,17,13
24,30,26
44,45,40
40,41,35
25,35,27
23,34,30
24,28,27
27,26,24
17,24,17
29,36,29
28,40,26
14,34,9
26,40,17
43,38,34
40,25,32
34,35,30
12,40,18
12,45,26
31,41,43
43,31,43
37,24,18
41,32,15
52,32,31
43,8,32
21,21,21
39,40,42
40,45,48
28,33,36
26,30,33
27,26,31
35,33,34
22,23,17
45,52,34
37,47,23
27,36,19
32,34,33
31,29,42
24,22,36
29,33,34
37,45,34
41,43,32
35,38,29
41,48,40
43,52,47
27,38,34
24,33,32
24,28,31
9,7,12
21,11,19
31,18,27
41,25,35
40,29,37
37,35,38
27,33,31
21,34,25
30,50,38
30,43,34
33,39,25
45,43,31
43,44,48
15,27,39
14,31,38
32,44,42
22,22,22
25,24,30
29,39,40
23,41,25
28,41,21
34,31,26
44,32,42
49,44,51
19,26,19
44,53,52
21,24,13
16,29,3
16,53,20
2,51,22
10,35,16
39,25,14
50,18,5
47,31,16
24,31,23
21,35,36
24,34,33
33,43,32
24,37,19
26,38,26
28,37,36
67,50,60
27,28,33
10,26,25
12,24,14
32,27,21
41,24,32
24,12,24
25,29,28
23,38,17
32,46,20
26,34,19
28,28,30
33,28,34
26,22,21
27,27,25
39,40,42
20,36,10
27,41,28
20,29,28
26,25,23
33,32,28
20,31,33
29,49,60
22,34,46
25,20,26
45,33,35
33,31,36
20,30,32
44,55,47
29,32,15
32,28,16
41,36,33
20,25,31
21,22,27
15,20,24
8,28,26
10,40,32
25,40,37
44,33,39
51,31,42
45,35,44
28,35,43
17,32,39
21,40,46
25,49,53
30,49,53
39,43,52
37,26,40
14,55,41
19,46,37
18,30,26
27,33,31
25,34,31
9,26,20
12,31,25
22,34,30
23,23,25
34,28,32
40,35,39
30,34,35
16,22,22
19,19,21
43,28,35
63,35,47
40,42,39
40,31,32
45,33,33
43,42,38
40,46,42
35,37,34
32,26,30
39,37,42
38,47,52
7,20,26
21,23,35
37,35,48
15,19,28
9,24,27
28,38,40
29,28,34
30,21,22
27,27,27
18,24,20
24,29,22
39,38,36
46,40,50
35,35,45
12,23,19
31,43,31
44,46,43
40,33,49
29,26,43
31,37,35
30,43,26
25,30,26
27,20,36
14,37,29
28,34,32
42,29,36
51,27,40
44,32,42
27,38,40
14,36,34
19,31,31
38,33,37
29,20,23
36,36,36
24,30,28
18,20,19
33,28,32
34,33,38
35,45,46
41,36,43
42,32,43
31,25,37
29,36,44
24,38,38
21,27,25
28,28,26
21,30,29
20,40,39
27,42,45
23,13,22
38,11,20
60,42,42
40,46,36
13,37,23
16,44,30
33,42,37
33,43,32
34,42,29
20,27,19
19,24,27
29,33,42
24,27,32
25,27,26
27,27,27
32,31,37
39,37,48
39,38,46
35,33,36
37,32,36
37,34,43
35,31,48
38,44,32
41,46,42
35,38,45
41,44,53
38,42,45
42,49,42
23,31,20
27,34,27
20,28,30
32,40,43
29,38,37
17,29,17
29,42,24
29,42,25
12,23,15
23,33,34
21,27,17
26,40,40
10,31,34
11,34,28
26,37,29
27,28,30
33,31,42
31,34,39
30,35,28
19,22,11
26,31,27
12,22,23
11,31,22
26,43,27
23,25,20
48,35,45
49,45,44
30,31,33
22,35,26
25,48,22
42,61,31
45,53,40
27,32,36
17,39,37
26,63,45
30,59,39
27,32,26
40,32,30
43,41,26
30,32,10
39,26,20
57,22,44
44,29,34
48,42,42
36,41,37
24,33,28
34,38,37
40,38,41
53,49,50
39,44,37
26,43,25
33,56,36
23,45,33
26,37,43
36,39,54
30,36,48
25,41,38
27,54,37
38,44,44
25,31,27
29,37,26
30,38,25
25,31,19
23,25,20
24,22,27
33,25,38
37,26,40
27,15,25
40,31,34
37,32,28
25,26,20
32,38,34
28,38,39
16,27,31
42,43,45
51,52,47
37,36,32
34,35,40
29,39,49
10,25,28
13,29,19
33,45,33
37,48,40
19,33,20
12,27,8
35,44,25
35,34,30
31,20,34
48,37,54
39,33,47
60,46,63
33,12,19
46,33,25
24,35,19
15,37,25
30,32,31
44,12,17
58,16,17
35,17,13
7,21,21
10,35,42
12,33,38
22,38,35
22,38,28
7,19,19
19,23,34
46,38,61
31,21,30
33,28,22
35,36,30
19,23,22
31,27,28
34,20,19
40,29,25
40,45,38
29,51,38
19,40,23
29,34,27
42,32,40
32,21,35
23,24,26
25,39,22
10,50,16
31,49,37
26,27,29
26,28,25
37,47,39
26,34,37
42,39,58
43,34,53
41,31,39
38,28,29
65,52,61
59,52,60
33,44,36
11,35,11
25,38,21
51,50,48
22,32,24
28,29,24
15,21,17
2,25,19
3,32,28
25,34,43
27,9,31
37,19,45
13,14,35
6,17,37
23,30,49
27,34,50
19,44,48
17,49,44
29,41,37
59,44,47
43,39,40
21,27,25
11,30,24
10,33,25
14,33,27
24,30,28
39,39,39
19,23,22
21,32,28
9,21,17
7,13,13
31,26,30
25,14,20
19,13,17
27,33,33
42,58,55
37,40,31
29,22,14
43,34,25
43,45,32
30,43,25
32,40,25
35,35,25
36,37,29
28,41,32
17,32,27
19,24,27
36,35,41
31,39,42
12,27,30
12,23,25
20,21,26
44,40,41
24,28,31
20,30,29
28,35,28
28,27,25
26,20,30
22,21,35
11,21,20
23,35,21
46,48,43
38,32,46
25,21,36
35,40,34
44,53,32
39,40,32
23,12,28
31,27,26
36,38,37
18,29,25
16,26,25
36,34,39
44,28,38
36,23,30
21,30,29
16,42,33
33,54,45
37,36,34
42,26,29
49,37,39
35,39,38
24,36,34
27,37,38
17,43,34
29,40,32
29,29,19
38,35,26
42,35,29
31,12,16
34,8,19
26,20,24
11,32,25
17,49,38
20,34,34
28,20,31
44,33,47
39,39,47
21,31,30
18,29,21
35,33,20
46,43,38
38,33,37
34,29,33
37,31,31
32,26,26
31,24,31
34,26,39
21,11,22
48,37,41
61,49,49
42,30,34
37,23,36
40,26,43
33,16,32
39,23,33
35,37,36
30,31,36
36,36,46
26,26,34
28,30,27
33,39,25
26,32,18
36,43,36
32,37,43
18,21,36
30,37,47
29,38,37
24,34,23
32,43,27
25,37,23
22,34,24
26,29,22
22,34,34
18,39,42
24,45,40
20,31,23
34,34,36
33,31,42
24,27,32
24,29,22
26,29,18
24,29,25
17,29,29
21,41,32
24,41,25
23,25,20
41,27,40
63,38,42
25,18,26
26,31,35
31,37,25
27,29,5
34,47,29
26,57,52
8,47,46
36,62,51
56,65,48
48,54,40
33,45,31
31,49,27
35,45,21
35,32,23
42,29,38
43,36,44
40,40,40
37,47,36
24,37,20
29,33,19
33,28,22
50,41,36
54,51,44
28,38,29
26,42,39
17,31,42
18,24,46
32,37,59
36,46,55
15,42,27
0,35,4
11,25,34
21,32,36
17,26,23
29,32,23
23,21,9
43,36,28
48,38,36
42,32,33
34,28,28
43,40,35
30,31,23
25,31,21
33,38,32
28,33,36
23,27,39
23,24,44
50,45,39
49,49,51
38,42,51
32,37,41
31,35,36
21,26,30
16,27,31
28,44,41
32,51,32
19,33,10
24,27,16
40,40,38
43,45,44
26,26,26
31,23,36
18,2,29
30,20,28
42,26,27
73,53,52
48,33,36
18,8,19
41,27,42
62,38,51
40,20,19
31,33,22
14,37,27
16,45,41
28,46,46
32,41,38
26,32,32
11,24,33
5,22,40
16,12,35
41,28,37
39,24,17
28,25,18
19,28,25
43,43,41
60,45,42
32,18,17
30,36,36
22,47,43
24,45,36
